Row #,Taxon Order,Category,Common Name,Scientific Name,Count,Location,S/P,Date,LocID,SubID,Exotic,Countable
1,8271,species,Bald Eagle,Haliaeetus leucocephalus,1,Kenilworth Park and Aquatic Gardens,US-DC,29 Dec 2024,L247770,S207051783,,1
2,737,species,Common Merganser,Mergus merganser,4,Kenilworth Park and Aquatic Gardens,US-DC,29 Dec 2024,L247770,S207051783,,1
3,5770,species,Killdeer,Charadrius vociferus,1,Kenilworth Promontory,US-DC,29 Dec 2024,L25507531,S207051852,,1
4,33571,species,Rusty Blackbird,Euphagus carolinus,13,"4409 Ponds Street Northeast, Washington, District of Columbia, US (38.912, -76.939)",US-DC,21 Dec 2024,L38755987,S206123177,,1
5,729,species,Hooded Merganser,Lophodytes cucullatus,3,Kenilworth Park and Aquatic Gardens,US-DC,21 Dec 2024,L247770,S206121888,,1
6,550,species,American Black Duck,Anas rubripes,2,Kenilworth Park and Aquatic Gardens,US-DC,21 Dec 2024,L247770,S206121888,,1
7,11947,species,Merlin,Falco columbarius,1,Step Loop,US-DC,17 Dec 2024,L38196231,S205891005,,1
9,8183,species,Cooper's Hawk,Astur cooperii,1,Park + 14th,US-DC,03 Nov 2024,L25959240,S203390563,,1
10,4747,species,Ruby-throated Hummingbird,Archilochus colubris,1,Rock Creek Park--Maintenance Yard,US-DC,19 May 2024,L1514892,S175627309,,1
11,7513,species,Black-crowned Night Heron,Nycticorax nycticorax,1,Kenilworth Park and Aquatic Gardens,US-DC,17 May 2024,L247770,S175649532,,1
12,33853,species,Blackpoll Warbler,Setophaga striata,1,Fort Circle Parks,US-DC,16 May 2024,L23360513,S175649769,,1
13,34266,species,Rose-breasted Grosbeak,Pheucticus ludovicianus,1,Rock Creek Park--Maintenance Yard,US-DC,08 May 2024,L1514892,S172805141,,1
14,33781,species,Cape May Warbler,Setophaga tigrina,1,Rock Creek Park--Maintenance Yard,US-DC,08 May 2024,L1514892,S172805141,,1
15,32720,species,Field Sparrow,Spizella pusilla,1,Fort Circle Parks,US-DC,17 Mar 2024,L23360513,S165331158,,1
17,33033,species,Swamp Sparrow,Melospiza georgiana,2,Kenilworth Park and Aquatic Gardens,US-DC,11 Feb 2024,L247770,S161225870,,1
18,483,species,Northern Shoveler,Spatula clypeata,2,Kenilworth Park and Aquatic Gardens,US-DC,11 Feb 2024,L247770,S161225870,,1
19,6494,species,Great Black-backed Gull,Larus marinus,1,Fort Totten Transfer Station,US-DC,21 Dec 2023,L28369760,S156801619,,1
20,6472,species,American Herring Gull,Larus smithsonianus,7,Fort Totten Transfer Station,US-DC,21 Dec 2023,L28369760,S156801619,,1
21,5443,species,American Coot,Fulica americana,1,Kenilworth Park and Aquatic Gardens,US-DC,28 Oct 2023,L247770,S153237800,,1
22,26599,species,Golden-crowned Kinglet,Regulus satrapa,1,Fort Circle Parks,US-DC,24 Oct 2023,L23360513,S152986539,,1
23,21400,species,Common Raven,Corvus corax,2,Rock Creek Park--Maintenance Yard,US-DC,02 Sep 2023,L1514892,S148772441,,1
24,3439,species,Common Nighthawk,Chordeiles minor,1,Rock Creek Park--Maintenance Yard,US-DC,02 Sep 2023,L1514892,S148772498,,1
26,7446,species,Roseate Spoonbill,Platalea ajaja,1,Kenilworth Park and Aquatic Gardens,US-DC,28 Jun 2023,L247770,S142988386,,1
27,7635,species,Great Egret,Ardea alba,11,Kenilworth Promontory,US-DC,26 Jun 2023,L25507531,S142823552,,1
28,18966,species,White-eyed Vireo,Vireo griseus,1,Kenilworth Park and Aquatic Gardens,US-DC,26 Jun 2023,L247770,S142823451,,1
29,10202,species,Belted Kingfisher,Megaceryle alcyon,1,Kenilworth Park and Aquatic Gardens,US-DC,26 Jun 2023,L247770,S142823451,,1
