Row #,Taxon Order,Category,Common Name,Scientific Name,Count,Location,S/P,Date,LocID,SubID,Exotic,Countable
1,32842,species,Dark-eyed Junco,Junco hyemalis,10,Avondale Neighborhood Park,US-MD,08 Jan 2025,L5088934,S208546649,,1
2,753,species,Ruddy Duck,Oxyura jamaicensis,10,Lake Artemesia,US-MD,05 Jan 2025,L265951,S208202293,,1
3,669,species,Greater Scaup,Aythya marila,1,Lake Artemesia,US-MD,05 Jan 2025,L265951,S208202293,,1
4,8161,species,Sharp-shinned Hawk,Accipiter striatus,1,Chillum Community Park,US-MD,01 Jan 2025,L26799657,S207538829,,1
5,8228,species,Northern Harrier,Circus hudsonius,1,Bladensburg Waterfront Park,US-MD,15 Dec 2024,L795955,S205503960,,1
6,11016,species,Yellow-bellied Sapsucker,Sphyrapicus varius,1,Lake Artemesia,US-MD,01 Dec 2024,L265951,S204297742,,1
7,26599,species,Golden-crowned Kinglet,Regulus satrapa,1,West Hyattsville Metro Ponds,US-MD,23 Nov 2024,L23706897,S203390525,,1
8,33033,species,Swamp Sparrow,Melospiza georgiana,1,West Hyattsville Metro Ponds,US-MD,29 Oct 2024,L23706897,S200682485,,1
9,8410,species,Red-tailed Hawk,Buteo jamaicensis,1,West Hyattsville Metro Ponds,US-MD,29 Oct 2024,L23706897,S200682485,,1
10,26595,species,Ruby-crowned Kinglet,Corthylio calendula,4,Jug Bay Wetlands Sanctuary,US-MD,27 Oct 2024,L126629,S200676679,,1
11,33779,species,American Redstart,Setophaga ruticilla,1,West Hyattsville Metro Ponds,US-MD,14 Sep 2024,L23706897,S195100567,,1
12,34308,species,Blue Grosbeak,Passerina caerulea,1,West Hyattsville Metro Ponds,US-MD,02 Jun 2024,L23706897,S179031616,,1
13,9117,species,Barred Owl,Strix varia,1,Bladensburg Waterfront Park,US-MD,02 May 2024,L795955,S171900797,,1
14,6854,species,Common Loon,Gavia immer,1,Lake Artemesia,US-MD,28 Apr 2024,L265951,S170799165,,1
15,33863,species,Palm Warbler,Setophaga palmarum,1,Lake Frank,US-MD,13 Apr 2024,L224286,S168474103,,1
16,32962,species,Savannah Sparrow,Passerculus sandwichensis,1,Bladensburg Waterfront Park,US-MD,04 Apr 2024,L795955,S167122501,,1
17,6004,species,American Woodcock,Scolopax minor,4,Anacostia River Trail (PG Co.),US-MD,03 Mar 2024,L1306688,S163637509,,1
18,6776,species,Pied-billed Grebe,Podilymbus podiceps,3,Lake Artemesia,US-MD,04 Feb 2024,L265951,S160631322,,1
19,648,species,Ring-necked Duck,Aythya collaris,4,Lake Artemesia,US-MD,04 Feb 2024,L265951,S160631322,,1
20,257,species,Snow Goose,Anser caerulescens,1,West Hyattsville Metro Ponds,US-MD,03 Feb 2024,L23706897,S160552001,,1
21,737,species,Common Merganser,Mergus merganser,1,Bladensburg Waterfront Park,US-MD,04 Dec 2023,L795955,S155759561,,1
22,717,species,Bufflehead,Bucephala albeola,1,"141 Riverview Avenue, Annapolis, Maryland, US (39.001, -76.507)",US-MD,23 Nov 2023,L28055168,S155064039,,1
23,8183,species,Cooper's Hawk,Astur cooperii,2,West Hyattsville Metro Ponds,US-MD,26 Oct 2023,L23706897,S153084655,,1
25,5614,species,Limpkin,Aramus guarauna,1,C&O Canal--Pennyfield Lock,US-MD,19 Aug 2023,L282676,S147621759,,1
