Row #,Taxon Order,Category,Common Name,Scientific Name,Count,Location,S/P,Date,LocID,SubID,Exotic,Countable
1,10202,species,Belted Kingfisher,Megaceryle alcyon,1,Lister Park,US-NY,23 Dec 2024,L444840,S206307630,,1
2,483,species,Northern Shoveler,Spatula clypeata,1,Lister Park,US-NY,23 Dec 2024,L444840,S206307630,,1
3,6551,species,Black Skimmer,Rynchops niger,1,Jones Beach SP--Zachs Bay Tower,US-NY,28 Jul 2024,L109519,S189338564,,1
4,33491,species,Baltimore Oriole,Icterus galbula,3,"5816 New York 80, Cooperstown, New York, US (42.717, -74.929)",US-NY,25 May 2024,L32267499,S177040333,,1
5,21333,species,American Crow,Corvus brachyrhynchos,1,"283 Mill Road, Cooperstown, New York, US (42.798, -74.864)",US-NY,25 May 2024,L32312279,S177040399,,1
6,32842,species,Dark-eyed Junco,Junco hyemalis,2,Bayside Inn,US-NY,25 May 2024,L32296761,S176979250,,1
7,21936,species,Tufted Titmouse,Baeolophus bicolor,1,Bayside Inn,US-NY,25 May 2024,L32296761,S176979250,,1
8,19067,species,Red-eyed Vireo,Vireo olivaceus,1,Bayside Inn,US-NY,25 May 2024,L32296761,S176979250,,1
9,3842,species,Chimney Swift,Chaetura pelagica,15,"46 Pioneer Street, Cooperstown, New York, US (42.7, -74.925)",US-NY,24 May 2024,L32267860,S176849578,,1
10,1242,species,Wild Turkey,Meleagris gallopavo,1,"5816 New York 80, Cooperstown, New York, US (42.717, -74.929)",US-NY,24 May 2024,L32267499,S176847883,,1
11,7720,species,Turkey Vulture,Cathartes aura,1,"41 Old Route 82, Hudson, New York, US (42.157, -73.746)",US-NY,24 May 2024,L32267515,S176847949,,1
12,8410,species,Red-tailed Hawk,Buteo jamaicensis,1,"2 Pen Mor Drive, East Norwich, New York, US (40.834, -73.565)",US-NY,23 Dec 2023,L28396562,S156937788,,1
13,6854,species,Common Loon,Gavia immer,1,Norman J. Levy Park and Preserve,US-NY,22 Dec 2023,L284148,S156874725,,1
14,717,species,Bufflehead,Bucephala albeola,7,Norman J. Levy Park and Preserve,US-NY,22 Dec 2023,L284148,S156874725,,1
15,729,species,Hooded Merganser,Lophodytes cucullatus,5,Massapequa Preserve--Massapequa Reservoir,US-NY,22 Dec 2023,L10677522,S156864007,,1
16,21841,species,Black-capped Chickadee,Poecile atricapillus,1,Massapequa Preserve--Massapequa Reservoir,US-NY,22 Dec 2023,L10677522,S156863384,,1
17,32919,species,White-throated Sparrow,Zonotrichia albicollis,16,Massapequa Preserve,US-NY,22 Dec 2023,L256326,S156862452,,1
18,32034,species,House Finch,Haemorhous mexicanus,1,Massapequa Preserve,US-NY,22 Dec 2023,L256326,S156862452,N,1
19,27107,species,Carolina Wren,Thryothorus ludovicianus,2,Massapequa Preserve,US-NY,22 Dec 2023,L256326,S156862452,,1
20,21066,species,Blue Jay,Cyanocitta cristata,2,Massapequa Preserve,US-NY,22 Dec 2023,L256326,S156862452,,1
21,11314,species,Hairy Woodpecker,Dryobates villosus,1,Massapequa Preserve,US-NY,22 Dec 2023,L256326,S156862452,,1
22,11287,species,Downy Woodpecker,Dryobates pubescens,1,Massapequa Preserve,US-NY,22 Dec 2023,L256326,S156862452,,1
23,26777,species,Brown Creeper,Certhia americana,1,"The Battery, Manhattan",US-NY,08 Oct 2023,L288752,S151720133,,1
24,33749,species,Common Yellowthroat,Geothlypis trichas,1,Bryant Park (5th-6th Ave. btwn 40th-42nd St.),US-NY,06 Oct 2023,L683555,S151564221,,1
26,5777,species,Semipalmated Plover,Charadrius semipalmatus,2,"Jamaica Bay Wildlife Refuge--East Pond, south end",US-NY,29 Jul 2023,L954555,S145922540,,1
