Row #,Taxon Order,Category,Common Name,Scientific Name,Count,Location,S/P,Date,LocID,SubID,Exotic,Countable
1,11016,species,Yellow-bellied Sapsucker,Sphyrapicus varius,1,"219 Grass Dale Lane, Crozet, Virginia, US (38.065, -78.712)",US-VA,25 Dec 2024,L38846625,S206534005,,1
2,27054,species,Winter Wren,Troglodytes hiemalis,1,Lickinghole Creek,US-VA,25 Dec 2024,L1397102,S206530169,,1
3,28081,species,Hermit Thrush,Catharus guttatus,1,Lickinghole Creek,US-VA,25 Dec 2024,L1397102,S206529609,,1
4,26595,species,Ruby-crowned Kinglet,Corthylio calendula,1,Lickinghole Creek,US-VA,25 Dec 2024,L1397102,S206529609,,1
5,11314,species,Hairy Woodpecker,Dryobates villosus,1,Lickinghole Creek,US-VA,25 Dec 2024,L1397102,S206529609,,1
7,32995,species,Song Sparrow,Melospiza melodia,1,Huntley Meadows Park--Observation Tower,US-VA,24 Mar 2024,L1267694,S165880765,,1
8,26640,species,White-breasted Nuthatch,Sitta carolinensis,3,Huntley Meadows Park--Observation Tower,US-VA,24 Mar 2024,L1267694,S165880765,,1
9,26599,species,Golden-crowned Kinglet,Regulus satrapa,1,Huntley Meadows Park--Observation Tower,US-VA,24 Mar 2024,L1267694,S165880765,,1
10,21936,species,Tufted Titmouse,Baeolophus bicolor,1,Huntley Meadows Park--Observation Tower,US-VA,24 Mar 2024,L1267694,S165880765,,1
11,33033,species,Swamp Sparrow,Melospiza georgiana,3,Huntley Meadows Park--Cedar Trail Loop,US-VA,24 Mar 2024,L5640834,S165880722,,1
12,16840,species,Eastern Phoebe,Sayornis phoebe,1,Huntley Meadows Park--Cedar Trail Loop,US-VA,24 Mar 2024,L5640834,S165880722,,1
13,6042,species,Wilson's Snipe,Gallinago delicata,2,Huntley Meadows Park--Cedar Trail Loop,US-VA,24 Mar 2024,L5640834,S165880722,,1
14,588,species,Green-winged Teal,Anas crecca,11,Huntley Meadows Park--Cedar Trail Loop,US-VA,24 Mar 2024,L5640834,S165880722,,1
15,441,species,Wood Duck,Aix sponsa,2,Huntley Meadows Park--Cedar Trail Loop,US-VA,24 Mar 2024,L5640834,S165880722,,1
16,1817,species,Rock Pigeon,Columba livia,52,Rosslyn Metro Plaza,US-VA,24 Feb 2024,L29478921,S162780143,N,1
17,32842,species,Dark-eyed Junco,Junco hyemalis,4,Mint Springs Valley Park,US-VA,25 Dec 2023,L618810,S157086068,,1
18,29618,species,Cedar Waxwing,Bombycilla cedrorum,1,Mint Springs Valley Park,US-VA,25 Dec 2023,L618810,S157086068,,1
19,11785,species,Northern Flicker,Colaptes auratus,2,Mint Springs Valley Park,US-VA,25 Dec 2023,L618810,S157086068,,1
